collocs	anggon
duga	1
dugas	1
dugasé	1
dugén	1
dumadak	1
ébat	1
eda	1
embus	1
endera	1
ene	1
enu	1
frank	1
gagaén	1
gajih	1
gajihè	1
galahé	1
galahné	1
gantungan	1
gdé	1
gdéné	1
gedé	1
gedeg	1
gedongé	1
gegaén	1
gelah	1
gelar	1
genep	1
gentar	1
gerang	1
gie	1
gobanné	1
goh	1
golf	1
griane	1
gubernur	1
gulané	1
gumin	1
gunadosané	1
guruné	1
guyu-guyuan	1
hal-hal	1
harus	1
héktar	1
hiburan	1
hok	1
honorné	1
hotél	1
hukuman	1
iban	1
ibané	1
ibanè	1
ibm	1
ibu	1
icang	1
ida	1
idep	1
idih	1
idup	1
idupan	1
ilmu	1
indria	1
indriya	1
ingat	1
ingetang	1
inggris	1
inguh	1
internet	1
invéstasi	1
ipah	1
jagat	1
jagung	1
jaja	1
jaka	1
jalané	1
jalaran	1
jaya	1
jeg	1
jegég	1
jegégné	1
jekjek	1
jelema	1
jemak	1
jembatan	1
jendéla	1
jepange	1
jinah	1
jit	1
jlema	1
jnana	1
jumah	1
kaadep	1
kaampakang	1
kabelogan	1
kaduegane	1
kadueganne	1
kadung	1
kafe	1
kagadé	1
kajegégan	1
kajuang	1
kakak-kékék	1
kakedékan	1
kaki	1
kala	1
kalaksanayang	1
kan	1
kangin	1
kapah	1
kapépét	1
kaperluan	1
kapespes	1
karang	1
karcis	1
kartu	1
kas	1
kawigunané	1
kawiné	1
kayangé	1
kayu	1
kebés	1
kebut	1
kekedékan	1
keles	1
kema-mai	1
kemampuan	1
kéné-kéné	1
kéné-kéto	1
kenehan	1
kenehne	1
kenehné	1
kenken	1
kénkénan	1
kenyat	1
képék	1
kepineh	1
kerja	1
kertas	1
kerusakan	1
keto	1
ketut	1
kéwala	1
kiap	1
kita	1
klian	1
kolam	1
komputere	1
kone	1
konsumsi	1
konten	1
kontrakang	1
koperasi	1
korsi	1
korupsi	1
kramane	1
kramané	1
krana	1
kuang	1
kuat	1
kudang	1
kulit	1
kuluk	1
kursus	1
kutang	1
laba	1
lahan	1
lakaran	1
lakarang	1
laliar	1
lampahan	1
lampahané	1
langganan	1
lap	1
laptop	1
laut	1
lawaté	1
lebeng	1
lelahé	1
len	1
lén	1
lèn-lènan	1
lénan	1
lengis	1
limané	1
limang	1
lingkungané	1
listrik	1
lonto	1
luhe	1
lumbangan	1
lunak	1
lung	1
luu	1
luwungan	1
maan	1
mabablanjaan	1
mabekal	1
mabekel	1
mabraya-makrama	1
mabuaka	1
macanda	1
macentok	1
madagang	1
madaya	1
maekin	1
magadè	1
magotong	1
maguna	1
maitungan	1
majaguran	1
majujuk	1
makarya	1
makelonne	1
makerti	1
makibeh	1
malajahin	1
malaksana	1
malali	1
malam	1
malaysia	1
malebengan	1
mamitra	1
mamoya	1
mamurti	1
mancingin	1
mangening-eningang	1
manik	1
manting	1
mantu	1
manyama	1
manyamane	1
mapan	1
mapanauran	1
mapangupa	1
mapasilih-silihan	1
mapenauran	1
mapenga	1
maperang	1
mapeték-petékan	1
mapineh	1
mapipil	1
mapitulung	1
mapulih-pulih	1
mara	1
masekolah	1
masuluh	1
masumpah	1
matah	1
matakon	1
matani	1
matanjung	1
matetulung	1
matulisan	1
matutang	1
maut	1
mayadnya	1
mayahin	1
meambuh	1
meanin	1
mecikang	1
mekelin	1
melahang	1
melakukan	1
melinggih	1
melog-melog	1
mémé-bapanné	1
mendep	1
méngkongin	1
merajan	1
mersihin	1
mesin-mesinné	1
mesugi	1
meték	1
meyanin	1
miayanin	1
miinstan	1
mikat	1
mikatin	1
milyar-milyaran	1
minggu	1
minum	1
mirib	1
misi	1
modal	1
montore	1
morosin	1
mragatang	1
mranen	1
